# Age-of-acquisition ratings: the average age, in years, at which people
# report having learned a word.
#
# Kuperman, V., Stadthagen-Gonzalez, H., & Brysbaert, M. (2012).
# Age-of-acquisition ratings for 30,000 English words.
# Behavior Research Methods 44(4), 978-990.
#
# This is the subset republished in the CLDF/NoRaRe cross-linguistic norms
# collection (concepticon/norare-data, Kuperman-2012-AoA), which covers the
# basic vocabulary rather than the full 30,000 - which is the half that
# matters here anyway. Vendored so the dictionary build stays offline and
# reproducible.
#
# word age
change 4.26
channel 5.79
chapter 6.42
character 6.47
charcoal 8.00
charity 7.63
chat 7.33
cheap 7.11
cheat 5.11
check 5.53
cheek 5.06
cheese 4.33
cheetah 8.16
cherry 5.58
chest 5.05
chestnut 6.55
chew 4.05
chick 5.53
chicken 3.26
chief 7.53
chigger 10.78
child 5.15
chili 6.61
chill 6.40
chime 7.83
chimney 6.58
chimp 7.17
chin 4.22
chisel 10.53
chocolate 3.33
choke 6.11
choose 4.74
chop 6.74
chopper 8.21
chopsticks 7.85
christmas 4.35
church 5.15
cicada 11.54
cigar 7.67
cigarette 6.39
circle 3.67
circular 7.68
circumcision 12.11
citizen 7.74
city 6.56
civet 11.33
clan 11.05
clap 3.40
claw 4.70
clay 5.32
clean 3.89
clear 5.80
clever 7.50
cliff 7.28
climate 7.95
climb 5.30
clitoris 14.00
cloak 6.95
clock 4.42
close 4.50
cloth 5.30
clothe 8.83
clothes 3.11
cloud 3.63
cloudy 5.50
clown 3.72
club 5.89
coagulate 13.95
coal 6.65
coarse 9.11
coast 6.43
coat 3.58
cockroach 6.25
coconut 6.50
coffee 4.94
coffin 7.79
coin 4.17
cold 3.95
collapse 9.17
collar 6.56
collarbone 8.89
color 4.00
colorful 4.89
comb 5.50
come 3.32
command 8.67
common 6.94
companion 9.58
company 6.84
compare 8.57
compass 8.44
complain 7.28
compound 11.26
computer 9.70
conceal 10.81
conceive 10.39
concept 11.44
condemn 12.50
conduct 8.58
cone 4.67
confused 8.02
congee 13.20
conjunctivitis 13.94
conjure 11.37
connect 7.58
contempt 12.44
contemptible 13.33
content 8.37
conversation 7.79
convey 12.65
convict 11.00
cook 4.22
cookhouse 10.71
cool 4.58
coop 8.25
copper 7.95
copulate 13.00
coral 9.06
coriander 13.88
cormorant 14.22
corn 4.61
corner 5.21
cornfield 6.42
corpse 10.00
correct 5.37
cost 5.67
cotton 6.00
cough 4.32
count 2.61
country 7.05
countryside 8.00
courage 8.42
court 8.39
courtyard 9.95
cousin 4.95
cover 5.42
cow 3.94
coward 7.62
cowardly 8.84
coyote 6.68
crab 5.28
crack 6.33
cradle 5.22
cranberry 6.45
crane 6.78
crawl 3.89
crayfish 9.35
creek 5.89
creep 8.00
crested 12.06
cricket 7.72
crime 7.67
criminal 6.78
cripple 9.14
crocodile 5.11
crooked 6.33
crop 7.63
cross 4.74
crossbow 10.67
crouch 8.50
crow 5.74
crowd 7.14
crowded 7.63
crown 7.80
cruel 7.63
crush 7.58
cry 2.78
cuckoo 6.61
cucumber 5.72
cultivate 12.39
cunning 10.84
cup 3.57
cupboard 6.39
cure 9.58
curious 6.64
current 8.94
curse 7.47
curtain 4.95
curved 6.67
custom 8.36
cut 4.43
cuttlefish 12.88
damage 7.20
damp 7.67
dance 4.63
dandelion 5.11
dandruff 10.74
danger 4.61
dangerous 5.60
dare 6.63
dark 3.74
darkness 4.83
dart 7.38
dash 7.74
date 5.84
daughter 4.95
dawn 7.00
day 3.50
dead 5.17
deaf 6.83
dear 5.55
